index,lat,lon,ele,x,y,segment_length,dist_to_start
72,45.626660,9.291640,189.334915,816.593670,877.964641,4.802428,1199.019238
73,45.627010,9.292500,189.185898,883.553664,916.926641,77.470500,1273.350519
74,45.627180,9.292840,187.968124,910.026220,935.851041,32.541191,1305.360063
75,45.627430,9.293170,187.747757,935.720172,963.681041,37.877276,1343.224996
76,45.627560,9.293570,188.015228,966.864355,978.152641,34.342210,1375.357870
77,45.627810,9.294240,188.128586,1019.030863,1005.982641,59.125742,1431.930506
78,45.628080,9.295230,188.588348,1096.112717,1036.039041,82.734512,1508.257267
79,45.628476,9.296098,188.744568,1163.683184,1080.152845,80.695698,1587.730683
80,45.628904,9.296548,189.073532,1198.767973,1127.759493,59.138272,1645.869413
81,45.629632,9.296484,189.648407,1193.755860,1208.773479,81.168881,1698.877976
82,45.630224,9.295994,189.875549,1155.626387,1274.720978,76.176960,1720.577205
83,45.630479,9.296021,189.667435,1157.714768,1303.117084,28.472797,1743.105739
84,45.630640,9.296348,190.139389,1183.193007,1321.073379,31.170004,1773.465693
85,45.631019,9.296128,189.846451,1166.068288,1363.249588,45.520200,1793.924383
86,45.631201,9.295418,189.133759,1110.745811,1383.474686,58.903575,1774.192341
87,45.631047,9.294747,188.757767,1058.536305,1366.348649,54.946644,1728.411912
88,45.631210,9.294640,187.911346,1050.175047,1384.470641,19.957887,1737.707278
89,45.631390,9.295470,188.092926,1114.799227,1404.508241,67.659369,1793.159423
90,45.631380,9.295780,189.800476,1138.935970,1403.395041,24.162399,1807.399454
91,45.631280,9.296120,187.761658,1165.408526,1392.263041,28.717898,1815.646829
92,45.631140,9.296360,187.121872,1184.095036,1376.678241,24.332523,1815.853528
93,45.630890,9.296540,186.760910,1198.109919,1348.848241,31.159683,1804.122766
94,45.629700,9.296720,186.123230,1212.124801,1216.377441,133.210096,1717.213037
95,45.628680,9.296850,185.228516,1222.246661,1102.831041,113.996653,1646.245184
96,45.628410,9.296770,184.679871,1216.017824,1072.774641,30.695042,1621.587117
97,45.628290,9.296550,184.578033,1198.888523,1059.416241,21.722334,1599.905142
98,45.628070,9.297010,182.835129,1234.704334,1034.925841,43.388386,1611.076128
99,45.628150,9.297150,182.339661,1245.604799,1043.831441,14.075860,1625.150883
100,45.628130,9.297250,181.495865,1253.390844,1041.605041,8.098109,1629.702326
101,45.628040,9.297320,179.914200,1258.841077,1031.586241,11.405323,1627.529118
102,45.627580,9.297550,179.727707,1276.748982,980.379041,54.248230,1609.730110
103,45.627120,9.297570,178.892471,1278.306191,929.171841,51.230872,1580.324976
104,45.626370,9.297510,178.676407,1273.634564,845.681841,83.620597,1528.830526
105,45.626110,9.297590,178.432343,1279.863400,816.738641,29.605865,1518.259639
106,45.625780,9.297760,177.651779,1293.099678,780.003041,39.047450,1510.136260
107,45.625470,9.297710,176.434036,1289.206656,745.493841,34.728094,1489.232980
108,45.624720,9.297130,175.756332,1244.047589,662.003841,94.920606,1409.220881
109,45.624410,9.297020,175.434692,1235.482939,627.494641,35.556126,1385.701128
110,45.623310,9.296890,174.525024,1225.361079,505.042641,122.869623,1325.359515
111,45.623030,9.296820,174.930283,1219.910847,473.873041,31.642519,1308.716216
112,45.622210,9.296510,174.640625,1195.774105,382.590641,94.419589,1255.488474
113,45.621030,9.296280,173.314423,1177.866199,251.233041,132.572667,1204.361584
114,45.620500,9.295980,172.785599,1154.508062,192.233441,63.455145,1170.402734
115,45.618430,9.294600,172.466476,1047.060628,-38.198959,254.251926,1047.757185
116,45.618230,9.294480,172.139160,1037.717373,-60.462959,24.145022,1039.477328
117,45.617460,9.294220,170.852875,1017.473654,-146.179359,88.074454,1027.920737
118,45.616320,9.294370,171.400726,1029.152723,-273.084159,127.441080,1064.767714
119,45.614670,9.294520,169.735214,1040.831791,-456.762159,184.048929,1136.645278
120,45.614280,9.294490,169.752655,1038.495978,-500.176959,43.477591,1152.671196
121,45.613590,9.294470,170.050064,1036.938769,-576.987759,76.826583,1186.657863
122,45.613100,9.294850,170.022949,1066.525743,-631.534559,62.054351,1239.480964
123,45.612930,9.295090,169.543610,1085.212253,-650.458959,26.595462,1265.220333
124,45.612565,9.295092,169.308441,1085.396571,-691.101640,40.643099,1286.742863
125,45.612190,9.294974,168.772675,1076.207698,-732.874009,42.771091,1302.047358
126,45.611537,9.295155,168.854492,1090.282404,-805.576390,74.052234,1355.606521
127,45.611274,9.294855,168.303940,1066.892545,-834.817555,37.445043,1354.688175
128,45.610660,9.295101,168.043503,1086.105644,-903.158865,70.990689,1412.558461
129,45.608546,9.295326,168.546814,1103.575881,-1138.520713,236.009340,1585.594254
130,45.608508,9.297139,167.633255,1244.750386,-1142.698236,141.236300,1689.722694
131,45.607730,9.296060,167.238907,1160.736898,-1229.322959,120.673562,1690.723243
132,45.607110,9.295520,167.155731,1118.692250,-1298.341359,80.816409,1713.815228
133,45.606640,9.295270,167.410721,1099.227136,-1350.661759,55.823964,1741.432595
134,45.606210,9.294860,168.118301,1067.304348,-1398.529359,57.535828,1759.267728
135,45.605900,9.294370,166.732986,1029.152723,-1433.038559,51.443477,1764.300099
136,45.605140,9.293270,166.269318,943.506218,-1517.641759,120.386981,1787.020003
137,45.604530,9.292380,166.037445,874.210409,-1585.546959,97.020747,1810.580846
138,45.603740,9.291210,171.165588,783.113672,-1673.489759,126.619712,1847.656623
139,45.603660,9.290950,175.612808,762.869953,-1682.395359,22.116010,1847.274941
140,45.603740,9.290220,175.770630,706.031818,-1673.489759,57.531585,1816.328412
141,45.604050,9.289180,174.105713,625.056941,-1638.980559,88.021677,1754.124697
142,45.604150,9.288600,174.374512,579.897874,-1627.848559,46.510888,1728.054535
143,45.604100,9.287910,171.164871,526.174158,-1633.414559,54.011277,1716.071783
144,45.603790,9.286830,170.391220,442.084862,-1667.923759,90.894964,1725.516934
145,45.603700,9.286620,175.220139,425.734166,-1677.942559,19.176069,1731.109705
146,45.604230,9.286450,177.988693,412.497888,-1618.942959,60.466122,1670.667774
147,45.604430,9.286160,178.184479,389.918355,-1596.678959,31.709951,1643.599714
148,45.605160,9.285070,178.514603,305.050454,-1515.415359,117.500354,1545.813536
149,45.605430,9.284840,179.358597,287.142549,-1485.358959,34.986858,1512.858909
